turnout,treated,dormid,treatment_group
1,1,9030329,1
1,1,9030329,1
1,1,9030329,1
1,1,9030329,1
1,0,9030330,1
1,0,9030330,1
1,0,9030330,1
1,0,9030330,1
1,1,9030331,1
1,1,9030331,1
1,1,9030331,1
1,1,9030331,1
0,0,9030332,0
0,0,9030332,0
1,0,9030332,0
1,0,9030332,0
0,0,9040401,0
0,0,9040401,0
0,0,9040401,0
0,0,9040401,0
0,1,9040402,1
1,1,9040402,1
1,1,9040402,1
1,1,9040402,1
0,0,9040404,0
0,0,9040404,0
0,0,9040404,0
0,0,9040404,0
1,1,9040405,1
1,1,9040405,1
1,1,9040405,1
0,1,9040405,1
1,1,9040424,1
1,1,9040424,1
1,1,9040424,1
1,1,9040424,1
1,1,9040425,1
1,1,9040425,1
1,1,9040425,1
1,1,9040425,1
1,0,9040426,0
1,0,9040426,0
1,0,9040426,0
1,0,9040426,0
1,1,9040428,1
1,1,9040428,1
0,1,9040428,1
0,1,9040428,1
1,1,9040429,1
1,1,9040429,1
1,1,9040429,1
1,1,9040429,1
1,0,9040430,0
1,0,9040430,0
1,0,9040430,0
1,0,9040430,0
1,0,9040431,1
1,0,9040431,1
0,0,9040431,1
1,0,9040431,1
1,1,9040432,1
